Year,Units,Доходы бюджета,Value
2013,"Доля к ВВП, в процентах",Сборы за регистрацию,0.043230270463629865
2014,"Доля к ВВП, в процентах",Сборы за регистрацию,0.04331588874639605
2015,"Доля к ВВП, в процентах",Сборы за регистрацию,0.05490343374687533
2016,"Доля к ВВП, в процентах",Сборы за регистрацию,0.05727453120915711
2017,"Доля к ВВП, в процентах",Сборы за регистрацию,0.05005938935513615
2018,"Доля к ВВП, в процентах",Сборы за регистрацию,0.05086085802064487
2010,млн.тенге,Налог на игорный бизнес,5307296.9372
2011,млн.тенге,Налог на игорный бизнес,5906834.4913
2012,млн.тенге,Налог на игорный бизнес,6444629.0087
2013,млн.тенге,Налог на игорный бизнес,7734714.645
2014,млн.тенге,Налог на игорный бизнес,8888422.31095
2015,млн.тенге,Налог на игорный бизнес,10570459.46761
2016,млн.тенге,Налог на игорный бизнес,11876282.91775
2017,млн.тенге,Налог на игорный бизнес,13347959.35686
2018,млн.тенге,Налог на игорный бизнес,28863927.12853
2010,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.02432808233332265
2011,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.020914291928860792
2012,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.02077894642974677
2013,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.0214859003084503
2014,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.0224026105094066
2015,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.02585467401860266
2016,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.025284207258604485
2017,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.025136793132666008
2018,"Доля к ВВП, в процентах",Налог на игорный бизнес,0.049557832560535836
2010,млн.тенге,Налоги на международную торговлю и внешние операции,373799611.3336
2011,млн.тенге,Налоги на международную торговлю и внешние операции,813789853.9948
2012,млн.тенге,Налоги на международную торговлю и внешние операции,744443812.0009
2013,млн.тенге,Налоги на международную торговлю и внешние операции,880049267.6658
2014,млн.тенге,Налоги на международную торговлю и внешние операции,1054054719.6959199
2015,млн.тенге,Налоги на международную торговлю и внешние операции,880063188.7207099
2016,млн.тенге,Налоги на международную торговлю и внешние операции,951806708.61454
2017,млн.тенге,Налоги на международную торговлю и внешние операции,1196918503.988
2018,млн.тенге,Налоги на международную торговлю и внешние операции,1422717755.81567
2010,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,1.7134574960272542
2011,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.8813806447870283
2012,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.400255789532796
2013,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.444647501484144
2014,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.656666899350512
2015,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.152578790909513
2016,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.0263644995162777
2017,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.2540294008270103
2018,"Доля к ВВП, в процентах",Налоги на международную торговлю и внешние операции,2.442730956520576
2010,млн.тенге,Акцизы,61423117.956
2011,млн.тенге,Акцизы,76399980.8999
2012,млн.тенге,Акцизы,93143180.2472
2013,млн.тенге,Акцизы,103651007.3985
2014,млн.тенге,Акцизы,146865777.03333998
2015,млн.тенге,Акцизы,161068271.97219
2016,млн.тенге,Акцизы,205230955.45323
2017,млн.тенге,Акцизы,255994199.021
2018,млн.тенге,Акцизы,311855913.62152004
2010,"Доля к ВВП, в процентах",Акцизы,0.2815570126346307
2011,"Доля к ВВП, в процентах",Акцизы,0.2705089343968119
2012,"Доля к ВВП, в процентах",Акцизы,0.3003147504751753
2013,"Доля к ВВП, в процентах",Акцизы,0.287927262226054
2014,"Доля к ВВП, в процентах",Акцизы,0.3701643199362804
2015,"Доля к ВВП, в процентах",Акцизы,0.3939627865128344
2016,"Доля к ВВП, в процентах",Акцизы,0.436929807878304
2017,"Доля к ВВП, в процентах",Акцизы,0.4820866659776196
2018,"Доля к ВВП, в процентах",Акцизы,0.5354400695874856
2010,млн.тенге,Государственная пошлина,23509262.3021
2011,млн.тенге,Государственная пошлина,26394668.8133
2012,млн.тенге,Государственная пошлина,26146320.6556
2013,млн.тенге,Государственная пошлина,32151458.0272
2014,млн.тенге,Государственная пошлина,35196771.924959995
2015,млн.тенге,Государственная пошлина,43579289.5738
2016,млн.тенге,Государственная пошлина,38542552.77793
2017,млн.тенге,Государственная пошлина,46711970.49533
2018,млн.тенге,Государственная пошлина,54085773.574090004
2010,"Доля к ВВП, в процентах",Государственная пошлина,0.10776394757043804
2011,"Доля к ВВП, в процентах",Государственная пошлина,0.09345543873626663
2012,"Доля к ВВП, в процентах",Государственная пошлина,0.08430167128383488
2013,"Доля к ВВП, в процентах",Государственная пошлина,0.0893120242503456
2014,"Доля к ВВП, в процентах",Государственная пошлина,0.08871085835468373
2015,"Доля к ВВП, в процентах",Государственная пошлина,0.10659218072264592
2016,"Доля к ВВП, в процентах",Государственная пошлина,0.08205579973649782
2017,"Доля к ВВП, в процентах",Государственная пошлина,0.08796768912521823
2018,"Доля к ВВП, в процентах",Государственная пошлина,0.09286240568569208
2010,млн.тенге,ВВП,21815517.0
2011,млн.тенге,ВВП,28243052.7
2012,млн.тенге,ВВП,31015186.6
2013,млн.тенге,ВВП,35999025.1
2014,млн.тенге,ВВП,39675832.90000001
2015,млн.тенге,ВВП,40884133.6
2016,млн.тенге,ВВП,46971150.0
2017,млн.тенге,ВВП,53101281.8
2018,млн.тенге,ВВП,59613707.5
